transformer,features,features_note,best_k,best_weight,best_metric,best_p,accuracy,recall,precision,f1,auc
power_sub.csv,all,n/a,5,distance,minkowski,1,0.9593908629441624,0.9183673469387755,1.0,0.9574468085106383,0.9761389404246547
power_sub.csv,all,n/a,5,distance,minkowski,1,0.9593908629441624,0.9183673469387755,1.0,0.9574468085106383,0.9761389404246547
power_sub.csv,all,n/a,5,distance,minkowski,1,0.9593908629441624,0.9183673469387755,1.0,0.9574468085106383,0.9761389404246547
power_sub.csv,all,n/a,5,distance,minkowski,1,0.9593908629441624,0.9183673469387755,1.0,0.9574468085106383,0.9761389404246547
power_sub.csv,all,n/a,5,distance,minkowski,1,0.9593908629441624,0.9183673469387755,1.0,0.9574468085106383,0.9761389404246547
robust_sub.csv,all,n/a,3,uniform,minkowski,1,0.9593908629441624,0.9285714285714286,0.9891304347826086,0.9578947368421052,0.9747990105132962
robust_sub.csv,all,n/a,3,uniform,minkowski,1,0.9593908629441624,0.9285714285714286,0.9891304347826086,0.9578947368421052,0.9747990105132962
robust_sub.csv,all,n/a,3,uniform,minkowski,1,0.9593908629441624,0.9285714285714286,0.9891304347826086,0.9578947368421052,0.9747990105132962
robust_sub.csv,all,n/a,3,uniform,minkowski,1,0.9593908629441624,0.9285714285714286,0.9891304347826086,0.9578947368421052,0.9747990105132962
robust_sub.csv,all,n/a,3,uniform,minkowski,1,0.9593908629441624,0.9285714285714286,0.9891304347826086,0.9578947368421052,0.9747990105132962
minmax_sub.csv,all,n/a,11,distance,minkowski,1,0.9441624365482234,0.8877551020408163,1.0,0.9405405405405405,0.9824263038548753
minmax_sub.csv,all,n/a,11,distance,minkowski,1,0.9441624365482234,0.8877551020408163,1.0,0.9405405405405405,0.9824263038548753
minmax_sub.csv,all,n/a,11,distance,minkowski,1,0.9441624365482234,0.8877551020408163,1.0,0.9405405405405405,0.9824263038548753
minmax_sub.csv,all,n/a,11,distance,minkowski,1,0.9441624365482234,0.8877551020408163,1.0,0.9405405405405405,0.9824263038548753
minmax_sub.csv,all,n/a,11,distance,minkowski,1,0.9441624365482234,0.8877551020408163,1.0,0.9405405405405405,0.9824263038548753
